name,building_name,floor,room,category,description
연구관리Unit,병원별관,9F,,행정,
연구윤리사무국,병원별관,9F,,행정,
연구행정팀,병원별관,2F,,행정,
영성구현실장실,병원별관,3F,,행정,
온열치료실,병원별관,B1F,,치료,방사선종양학과
옴니휘트니스센터,병원별관,1F,,편의,헬스장
완화의학과,병원별관,2F,,의료,
외과중앙연구소,병원별관,1F,,연구,
요나센터,병원별관,1F,,교육,간호실습실
우체국,병원별관,1F,,편의,우체통 포함
의료원원목팀,병원별관,1F,,행정,
의료원장실,병원별관,3F,,행정,보직자실
의료원홍보팀,병원별관,1F,,행정,
의료윤리사무국,병원별관,2F,,행정,
의용공학실,병원별관,2F,,연구,
의학통계지원실,병원별관,9F,,연구,
인체유래물은행,병원별관,B1F,,연구,
임상시험센터,병원별관,10F,,병동,
임상시험약국,병원별관,9F,,의료,
임상심리검사실,병원별관,5F,,검사,
임상연구실(류마티스내과),병원별관,B2F,,연구,
임상연구실(산부인과),병원별관,B2F,,연구,
임상연구실(순환기내과),병원별관,B2F,,연구,
임상연구실(신경외과),병원별관,B2F,,연구,
임상연구실(정신과),병원별관,B2F,,연구,
임상의과학연구사업단,병원별관,B1F,,연구,유전체 연구역량강화
자원봉사센터,병원별관,2F,,편의,
적정진료관리팀,병원별관,2F,,행정,보험심사팀
전공의숙소,병원별관,4F,,시설,
전기Unit,병원별관,B2F,,시설,
정맥Unit,병원별관,B1F,,시설,
정보운영팀,병원별관,B2F,,행정,
정보전략팀,병원별관,2F,,행정,
정보지원팀,병원별관,2F,,행정,
정신과정서연구실,병원별관,B1F,,연구,
정신의학과병동,병원별관,5F,,병동,
중앙구매운영팀,병원별관,2F,,행정,
중앙의료원행정사무실,병원별관,3F,,행정,인사/재무/기획/교육
직업환경의학과,병원별관,2F,,의료,
직업환경의학센터,병원별관,B1F,,의료,
초음파실,병원별관,2F,,검사,
콜센터,병원별관,1F,,행정,평화아름
통합검사실,병원별관,1F,,검사,CT/MRI/일반촬영
평생교육원,병원별관,2F,,교육,
해외연수생실,병원별관,B2F,,교육,
호스피스병동,병원별관,6F,,병동,
회의실1005,병원별관,1F,,공용,
APD,서울성모병원,1F,,,진료
ATM(우리은행),서울성모병원,1F,,금융,현금 인출
ATM(우리은행),서울성모병원,3F,,금융,
BMT병동,서울성모병원,19F,,병동,19-1
BMT병동2,서울성모병원,19F,,병동,19-2
BMT성인병동,서울성모병원,20F,,병동,20-1
BMT소아병동,서울성모병원,20F,,병동,20-2
BMT이식병동,서울성모병원,19F,,병동,
BMT이식병동,서울성모병원,20F,,병동,
CD등록기,서울성모병원,1F,,편의,영상 CD 등록
CD등록기,서울성모병원,3F,,편의,
CD발급창구,서울성모병원,2F,,원무,10장 미만
CT,서울성모병원,2F,,검사,
HICU,서울성모병원,20F,,중환자실,혈액계 ICU
MICU A,서울성모병원,7F,,중환자실,
MICU B,서울성모병원,7F,,중환자실,
MRI,서울성모병원,2F,,검사,
MTS검사,서울성모병원,3F,,검사,
NICU A,서울성모병원,9F,,중환자실,
NICU B,서울성모병원,9F,,중환자실,
PACS실,서울성모병원,2F,,시설,
PET-CT,서울성모병원,B1F,,,검사
PICU,서울성모병원,11F,,중환자실,소아중환자실
TPN조제실,서울성모병원,6F,,의료,
VC센터,서울성모병원,4F,,진료,
VIP병실,서울성모병원,21F,,병동,21-1
VVIP병실,서울성모병원,21F,,병동,21-2
X-RAY,서울성모병원,2F,,검사,
가정의학과,서울성모병원,1F,,,진료
가정의학과의국,서울성모병원,16F,,사무,
가정의학과의국,서울성모병원,16F,,사무,
간담도암병동,서울성모병원,15F,,병동,15-2
간담도영상검사,서울성모병원,B1F,,,검사
간담췌외과,서울성모병원,1F,,,진료
간담췌외과병동,서울성모병원,11F,,병동,
간담췌외과병동,서울성모병원,15F,,병동,
간섬유화검사,서울성모병원,3F,,검사,
간조직검사,서울성모병원,3F,,검사,
간초음파,서울성모병원,3F,,검사,
간클리닉,서울성모병원,3F,,진료,
간호통합병동,서울성모병원,13F,,병동,13-1
감마영상검사,서울성모병원,B1F,,,검사
감염내과,서울성모병원,2F,,진료,예방접종센터 포함
감염병동,서울성모병원,18F,,병동,혈액암
갑상선검사,서울성모병원,B1F,,,검사
갑상선방사선치료실,서울성모병원,19F,,치료,
갑상선초음파,서울성모병원,1F,,,검사
개원준비단사무국,서울성모병원,4F,,사무,
객담검사,서울성모병원,1F,,,검사
갱년기기능검사,서울성모병원,4F,,검사,
검사예약,서울성모병원,1F,,원무,검사 예약 접수
검사예약창구,서울성모병원,3F,,원무,성형외과 옆
