name,campus,building,floor,category,description,hours
피부과,성의교정,서울성모병원,3,진료,,
피부과의국,성의교정,서울성모병원,15,사무,,
피부과치료실,성의교정,서울성모병원,3,치료,,
피부초음파,성의교정,서울성모병원,3,검사,,
하늘정원,성의교정,서울성모병원,6,편의,옥외 공간,08:00~18:00
하역장,성의교정,서울성모병원,-1,,시설,
항암병동,성의교정,서울성모병원,19,병동,무균실,
항암주사조제실,성의교정,서울성모병원,6,의료,,
핵의학과,성의교정,서울성모병원,-1,,진료,
핵의학과의국,성의교정,서울성모병원,-1,,사무,
혈관외과병동,성의교정,서울성모병원,11,병동,,
혈관외과병동,성의교정,서울성모병원,15,병동,,
혈관이식외과,성의교정,서울성모병원,1,,진료,
혈관이식외과,성의교정,서울성모병원,2,진료,,
혈관인터베이션실,성의교정,서울성모병원,2,검사,,
혈관조영실,성의교정,서울성모병원,2,검사,,
혈류검사,성의교정,서울성모병원,1,,검사,
혈류초음파,성의교정,서울성모병원,1,,검사,
혈액검사,성의교정,서울성모병원,1,,검사,
혈액계중환자실,성의교정,서울성모병원,20,중환자실,HICU,면회 제한
혈액내과처치실,성의교정,서울성모병원,18,치료,,
혈액병동,성의교정,서울성모병원,18,병동,성인 / 18-1,
혈액병원,성의교정,서울성모병원,3,진료,,
혈액병원주사실,성의교정,서울성모병원,3,진료,,
혈액은행,성의교정,서울성모병원,4,시설,,
혈액투석혈관센터,성의교정,서울성모병원,1,,진료,
혈청안약조제,성의교정,서울성모병원,1,,지원,
호흡기내과,성의교정,서울성모병원,3,진료,알레르기내과 포함,
호흡기내과병동,성의교정,서울성모병원,12,병동,12-02,
환자이송사무실,성의교정,서울성모병원,-3,8124,사무,
환자이송사무실,성의교정,서울성모병원,-3,8127,사무,
회복실,성의교정,서울성모병원,5,의료,,
회의실,성의교정,서울성모병원,6,공용,,
휴대폰충전기,성의교정,서울성모병원,2,편의,유료,
휴대폰충전기,성의교정,서울성모병원,3,편의,유료,
흉부심장판독실,성의교정,서울성모병원,2,시설,,
흉부외과병동,성의교정,서울성모병원,14,병동,14-1,
흉부외과병동(심장),성의교정,서울성모병원,14,병동,14-2,
흉부외과의국,성의교정,서울성모병원,14,사무,,
